Base,Lat,Lon,Nom_du_jour,Jour_de_la_semaine,Heure,DayType,Nom_du_mois,DaySituation
B02512,40.6691,-73.9897,Sunday,0,0,NormalDay,September,Night
B02512,40.6691,-73.9808,Sunday,0,0,NormalDay,September,Night
B02512,40.6721,-73.987,Sunday,0,0,NormalDay,September,Night
B02512,40.6739,-73.9761,Sunday,0,0,NormalDay,September,Night
B02512,40.6787,-73.9686,Sunday,0,0,NormalDay,September,Night
B02512,40.6793,-73.9819,Sunday,0,0,NormalDay,September,Night
B02512,40.6833,-73.9322,Sunday,0,0,NormalDay,September,Night
B02512,40.6869,-73.9845,Sunday,0,0,NormalDay,September,Night
B02512,40.692,-73.9598,Sunday,0,0,NormalDay,September,Night
B02512,40.6925,-73.9603,Sunday,0,0,NormalDay,September,Night
B02512,40.694,-73.9835,Sunday,0,0,NormalDay,September,Night
B02512,40.6994,-73.9312,Sunday,0,0,NormalDay,September,Night
B02512,40.7019,-73.9133,Sunday,0,0,NormalDay,September,Night
B02512,40.7064,-74.0073,Sunday,0,0,NormalDay,September,Night
B02512,40.707,-73.9224,Sunday,0,0,NormalDay,September,Night
B02512,40.7075,-73.9416,Sunday,0,0,NormalDay,September,Night
B02512,40.7076,-74.0099,Sunday,0,0,NormalDay,September,Night
B02512,40.7078,-74.015,Sunday,0,0,NormalDay,September,Night
B02512,40.7095,-74.0137,Sunday,0,0,NormalDay,September,Night
B02512,40.7111,-74.0163,Sunday,0,0,NormalDay,September,Night
B02512,40.7112,-73.9478,Sunday,0,0,NormalDay,September,Night
B02512,40.7122,-73.7802,Sunday,0,0,NormalDay,September,Night
B02512,40.7123,-74.0088,Sunday,0,0,NormalDay,September,Night
B02512,40.7134,-73.9586,Sunday,0,0,NormalDay,September,Night
B02512,40.7137,-73.9984,Sunday,0,0,NormalDay,September,Night
B02512,40.714,-73.9615,Sunday,0,0,NormalDay,September,Night
B02512,40.7145,-73.9981,Sunday,0,0,NormalDay,September,Night
B02512,40.715,-73.9593,Sunday,0,0,NormalDay,September,Night
B02512,40.7151,-74.0062,Sunday,0,0,NormalDay,September,Night
B02512,40.7152,-73.9361,Sunday,0,0,NormalDay,September,Night
B02512,40.7161,-73.9997,Sunday,0,0,NormalDay,September,Night
B02512,40.7161,-73.9623,Sunday,0,0,NormalDay,September,Night
B02512,40.7168,-74.0075,Sunday,0,0,NormalDay,September,Night
B02512,40.7187,-74.0105,Sunday,0,0,NormalDay,September,Night
B02512,40.7187,-74.0025,Sunday,0,0,NormalDay,September,Night
B02512,40.7187,-73.9953,Sunday,0,0,NormalDay,September,Night
B02512,40.7187,-73.9883,Sunday,0,0,NormalDay,September,Night
B02512,40.7191,-74.0034,Sunday,0,0,NormalDay,September,Night
B02512,40.7192,-73.9936,Sunday,0,0,NormalDay,September,Night
B02512,40.7193,-74.0023,Sunday,0,0,NormalDay,September,Night
B02512,40.7196,-73.9867,Sunday,0,0,NormalDay,September,Night
B02512,40.7197,-74.0042,Sunday,0,0,NormalDay,September,Night
B02512,40.7199,-73.9875,Sunday,0,0,NormalDay,September,Night
B02512,40.7202,-73.9598,Sunday,0,0,NormalDay,September,Night
B02512,40.7207,-73.988,Sunday,0,0,NormalDay,September,Night
B02512,40.7209,-73.9871,Sunday,0,0,NormalDay,September,Night
B02512,40.721,-74.0042,Sunday,0,0,NormalDay,September,Night
B02512,40.721,-73.9937,Sunday,0,0,NormalDay,September,Night
B02512,40.7214,-74.0093,Sunday,0,0,NormalDay,September,Night
B02512,40.7215,-73.9979,Sunday,0,0,NormalDay,September,Night
B02512,40.7215,-73.9976,Sunday,0,0,NormalDay,September,Night
B02512,40.7216,-73.9978,Sunday,0,0,NormalDay,September,Night
B02512,40.7222,-73.9972,Sunday,0,0,NormalDay,September,Night
B02512,40.7228,-73.9884,Sunday,0,0,NormalDay,September,Night
B02512,40.7232,-73.993,Sunday,0,0,NormalDay,September,Night
B02512,40.7235,-73.9883,Sunday,0,0,NormalDay,September,Night
B02512,40.7237,-73.9881,Sunday,0,0,NormalDay,September,Night
B02512,40.7243,-73.9928,Sunday,0,0,NormalDay,September,Night
B02512,40.7244,-73.9934,Sunday,0,0,NormalDay,September,Night
B02512,40.7245,-73.9876,Sunday,0,0,NormalDay,September,Night
B02512,40.7249,-73.9943,Sunday,0,0,NormalDay,September,Night
B02512,40.7251,-73.9813,Sunday,0,0,NormalDay,September,Night
B02512,40.7252,-73.9931,Sunday,0,0,NormalDay,September,Night
B02512,40.7256,-73.9838,Sunday,0,0,NormalDay,September,Night
B02512,40.7257,-73.9846,Sunday,0,0,NormalDay,September,Night
B02512,40.7257,-73.9839,Sunday,0,0,NormalDay,September,Night
B02512,40.7258,-73.9948,Sunday,0,0,NormalDay,September,Night
B02512,40.726,-74.0084,Sunday,0,0,NormalDay,September,Night
B02512,40.726,-73.9918,Sunday,0,0,NormalDay,September,Night
B02512,40.7264,-74.0022,Sunday,0,0,NormalDay,September,Night
B02512,40.7265,-73.9921,Sunday,0,0,NormalDay,September,Night
B02512,40.7267,-73.9958,Sunday,0,0,NormalDay,September,Night
B02512,40.7268,-73.9573,Sunday,0,0,NormalDay,September,Night
B02512,40.7269,-73.9915,Sunday,0,0,NormalDay,September,Night
B02512,40.727,-73.9838,Sunday,0,0,NormalDay,September,Night
B02512,40.7271,-73.9797,Sunday,0,0,NormalDay,September,Night
B02512,40.7272,-73.9937,Sunday,0,0,NormalDay,September,Night
B02512,40.7272,-73.9918,Sunday,0,0,NormalDay,September,Night
B02512,40.7272,-73.9915,Sunday,0,0,NormalDay,September,Night
B02512,40.7273,-73.9935,Sunday,0,0,NormalDay,September,Night
B02512,40.7276,-73.9912,Sunday,0,0,NormalDay,September,Night
B02512,40.7279,-73.9911,Sunday,0,0,NormalDay,September,Night
B02512,40.7286,-74.0045,Sunday,0,0,NormalDay,September,Night
B02512,40.7287,-74.005,Sunday,0,0,NormalDay,September,Night
B02512,40.7287,-73.899,Sunday,0,0,NormalDay,September,Night
B02512,40.7291,-73.9924,Sunday,0,0,NormalDay,September,Night
B02512,40.7292,-74.0002,Sunday,0,0,NormalDay,September,Night
B02512,40.7292,-73.9938,Sunday,0,0,NormalDay,September,Night
B02512,40.7293,-73.9859,Sunday,0,0,NormalDay,September,Night
B02512,40.7296,-73.9902,Sunday,0,0,NormalDay,September,Night
B02512,40.7302,-74.0049,Sunday,0,0,NormalDay,September,Night
B02512,40.7304,-73.9936,Sunday,0,0,NormalDay,September,Night
B02512,40.7305,-74.0016,Sunday,0,0,NormalDay,September,Night
B02512,40.7309,-74.0053,Sunday,0,0,NormalDay,September,Night
B02512,40.731,-74.0013,Sunday,0,0,NormalDay,September,Night
B02512,40.731,-73.9995,Sunday,0,0,NormalDay,September,Night
B02512,40.731,-73.9952,Sunday,0,0,NormalDay,September,Night
B02512,40.732,-73.4458,Sunday,0,0,NormalDay,September,Night
B02512,40.7323,-74.0055,Sunday,0,0,NormalDay,September,Night
B02512,40.7325,-73.9969,Sunday,0,0,NormalDay,September,Night
B02512,40.7328,-74.004,Sunday,0,0,NormalDay,September,Night
B02512,40.7331,-73.9753,Sunday,0,0,NormalDay,September,Night
B02512,40.7333,-73.9928,Sunday,0,0,NormalDay,September,Night
B02512,40.7335,-74.0042,Sunday,0,0,NormalDay,September,Night
B02512,40.7335,-73.9996,Sunday,0,0,NormalDay,September,Night
B02512,40.734,-73.9778,Sunday,0,0,NormalDay,September,Night
B02512,40.7341,-74.0005,Sunday,0,0,NormalDay,September,Night
B02512,40.7341,-73.9996,Sunday,0,0,NormalDay,September,Night
B02512,40.7342,-74.008,Sunday,0,0,NormalDay,September,Night
B02512,40.7344,-73.99,Sunday,0,0,NormalDay,September,Night
B02512,40.735,-73.99,Sunday,0,0,NormalDay,September,Night
B02512,40.7352,-73.9753,Sunday,0,0,NormalDay,September,Night
B02512,40.7356,-74.0061,Sunday,0,0,NormalDay,September,Night
B02512,40.7356,-74.0005,Sunday,0,0,NormalDay,September,Night
B02512,40.7364,-74.0019,Sunday,0,0,NormalDay,September,Night
B02512,40.7365,-73.9964,Sunday,0,0,NormalDay,September,Night
B02512,40.7372,-73.9969,Sunday,0,0,NormalDay,September,Night
B02512,40.7375,-74.0082,Sunday,0,0,NormalDay,September,Night
B02512,40.7379,-74.0082,Sunday,0,0,NormalDay,September,Night
B02512,40.738,-74.0042,Sunday,0,0,NormalDay,September,Night
B02512,40.7381,-74.0084,Sunday,0,0,NormalDay,September,Night
